25.0 , -52.59233279996597 , 180.0
25.0 , -52.65373739344862 , 180.0
25.0 , -52.75816951128671 , 180.0
25.0 , -52.40391877449234 , 180.0
25.0 , -52.55124579781621 , 180.0
25.0 , -52.7927538033597 , 180.0
25.0 , -52.92926406042666 , 180.0
25.0 , -52.67363330750268 , 180.0
25.0 , -52.23609561060866 , 180.0
25.0 , -53.03987793023952 , 180.0
25.0 , -52.797508377575994 , 180.0
25.0 , -52.91080244032223 , 180.0
25.0 , -60.27604336632945 , 270
25.0 , -61.12329929943144 , 270
25.0 , -61.01755853239682 , 270
25.0 , -60.976410502358746 , 270
25.0 , -61.25210602364612 , 270
25.0 , -61.89871783761028 , 270
25.0 , -61.315384615384616 , 270
25.0 , -61.26558509839267 , 270
25.0 , -60.6217385899209 , 270
25.0 , -60.73119557841629 , 270
25.0 , -61.892827249778676 , 270
25.0 , -61.55803987876719 , 270
35.35533905932738 , -61.20790757258925 , 225.0
35.35533905932738 , -61.36331219482546 , 225.0
35.35533905932738 , -60.96511993989078 , 225.0
35.35533905932738 , -60.77047572469738 , 225.0
35.35533905932738 , -62.10341849129513 , 225.0
35.35533905932738 , -60.559018309310474 , 225.0
35.35533905932738 , -61.429079747916475 , 225.0
35.35533905932738 , -60.36306841512334 , 225.0
35.35533905932738 , -61.77582570740353 , 225.0
35.35533905932738 , -60.860047504000065 , 225.0
35.35533905932738 , -60.99156817169758 , 225.0
35.35533905932738 , -60.311474051167295 , 225.0
50.0 , -59.52505869143615 , 180.0
50.0 , -59.18985907411112 , 180.0
50.0 , -60.0532517143327 , 180.0
50.0 , -59.68350749257841 , 180.0
50.0 , -60.88128519111332 , 180.0
50.0 , -59.331367785414955 , 180.0
50.0 , -59.92698739247493 , 180.0
50.0 , -60.114160637563145 , 180.0
50.0 , -60.25939176832516 , 180.0
50.0 , -60.10667752871688 , 180.0
50.0 , -61.079263263233756 , 180.0
50.0 , -61.94761007110995 , 180.0
50.0 , -61.39147732656693 , 270
50.0 , -61.452284872235 , 270
50.0 , -61.6130906734924 , 270
50.0 , -61.287828326590926 , 270
50.0 , -62.03582176915147 , 270
50.0 , -62.190033510303955 , 270
50.0 , -61.52356122680312 , 270
50.0 , -61.65758979175438 , 270
50.0 , -62.4962202082708 , 270
50.0 , -61.81933244870878 , 270
50.0 , -62.08929234406723 , 270
50.0 , -61.80258530015951 , 270
55.90169943749474 , -61.35654083466504 , 206.56505117707798
55.90169943749474 , -61.869170902550195 , 206.56505117707798
55.90169943749474 , -62.24505964683272 , 206.56505117707798
55.90169943749474 , -62.52152129208041 , 206.56505117707798
55.90169943749474 , -62.54947192260349 , 206.56505117707798
55.90169943749474 , -62.70890958522307 , 206.56505117707798
55.90169943749474 , -62.39287164147271 , 206.56505117707798
55.90169943749474 , -61.97594540405241 , 206.56505117707798
55.90169943749474 , -61.49006840262381 , 206.56505117707798
55.90169943749474 , -62.24545425830975 , 206.56505117707798
55.90169943749474 , -62.800632365700665 , 206.56505117707798
55.90169943749474 , -61.7935646682797 , 206.56505117707798
55.90169943749474 , -69.97947454844008 , 243.43494882292202
55.90169943749474 , -69.4867393534737 , 243.43494882292202
55.90169943749474 , -69.85363983350433 , 243.43494882292202
55.90169943749474 , -69.69528543238532 , 243.43494882292202
55.90169943749474 , -69.65273338499463 , 243.43494882292202
55.90169943749474 , -70.28195201301878 , 243.43494882292202
55.90169943749474 , -70.25840593321891 , 243.43494882292202
55.90169943749474 , -70.17055413414516 , 243.43494882292202
55.90169943749474 , -70.20406528494217 , 243.43494882292202
55.90169943749474 , -71.03536773634013 , 243.43494882292202
55.90169943749474 , -71.25513456691328 , 243.43494882292202
55.90169943749474 , -70.56827279348053 , 243.43494882292202
70.71067811865476 , -64.07808401075235 , 225.0
70.71067811865476 , -64.00091790632266 , 225.0
70.71067811865476 , -64.38396864980405 , 225.0
70.71067811865476 , -64.08479477760707 , 225.0
70.71067811865476 , -64.28112477108147 , 225.0
70.71067811865476 , -64.03818376137579 , 225.0
70.71067811865476 , -63.67455121382535 , 225.0
70.71067811865476 , -63.9556547032592 , 225.0
70.71067811865476 , -63.75605678481833 , 225.0
70.71067811865476 , -64.13051560533418 , 225.0
70.71067811865476 , -63.739630729126084 , 225.0
70.71067811865476 , -64.06063080534857 , 225.0
75.0 , -65.45048321413375 , 180.0
75.0 , -66.38997280005532 , 180.0
75.0 , -67.3165937480294 , 180.0
75.0 , -68.50740135491299 , 180.0
75.0 , -69.59052495325759 , 180.0
75.0 , -68.19836623034197 , 180.0
75.0 , -69.06428399587656 , 180.0
75.0 , -67.73523392706892 , 180.0
75.0 , -66.66241126809632 , 180.0
75.0 , -67.40375271406086 , 180.0
75.0 , -67.57736915332158 , 180.0
75.0 , -67.73807547523121 , 180.0
75.0 , -66.0356590668209 , 270
75.0 , -66.0341879238891 , 270
75.0 , -66.57255969442679 , 270
75.0 , -65.96039603960396 , 270
75.0 , -66.56487278193333 , 270
75.0 , -66.08113635645776 , 270
75.0 , -66.70343575084861 , 270
75.0 , -66.17495763911532 , 270
75.0 , -66.29004569431137 , 270
75.0 , -65.93041042285134 , 270
75.0 , -65.14188016739818 , 270
75.0 , -66.25225286933002 , 270
79.05694150420949 , -61.94048209503027 , 198.43494882292202
79.05694150420949 , -60.708974317453126 , 198.43494882292202
79.05694150420949 , -60.63977228104865 , 198.43494882292202
79.05694150420949 , -61.56942005563238 , 198.43494882292202
79.05694150420949 , -61.75051904319709 , 198.43494882292202
79.05694150420949 , -60.89813208124936 , 198.43494882292202
